crn_id,acc_id,crn_date_of_creation,cr_id,crn_inhalt
1,2,2021-03-02 03:36:42,3,"Hello everybody, this chatroom will be used for planning attacks on other alliances."
2,12,2021-03-02 03:40:42,3,"Wouldn’t it be easier, to use a forum for that?"
3,2,2021-03-02 03:42:42,3,"As of now, I think a simple chat room will be enough, because we won’t have multiple concurrent attacks going, I think"
4,14,2021-03-02 03:43:42,3,"Yes, I think so too."
5,2,2021-03-02 03:45:42,3,"If a chatroom is not enough, we can migrate to a forum, but for now we will keep the discussion here."
6,12,2021-03-02 03:51:42,3,ok.
7,5,2021-03-02 03:53:42,3,"I think, we should attack the definitely not cops alliance "
8,12,2021-03-02 03:55:42,3,"I don’t think, this is a good idea. The only have some small castles, which are also really far away."
9,14,2021-03-02 03:59:42,3,"Yep, I don’t think, they are a real threat right now."
10,1,2021-01-27 04:20:05,2,"Moin, das hier ist einfach ein entspannter Chatroom, in dem man über alles mögliche reden kann."
11,6,2021-01-27 04:21:05,2,Cool.
12,18,2021-01-27 04:23:05,2,Was macht ihr so beruflich?
13,1,2021-01-27 04:32:05,2,Bin Student.
14,6,2021-01-27 04:34:05,2,"Jo, ich auch."
15,18,2021-01-27 04:42:05,2,"Wow, ich auch!"
16,18,2021-01-27 04:45:05,2,Was studiert ihr denn so?
17,6,2021-01-27 04:51:05,2,Soziale Arbeit.
18,18,2021-01-27 04:52:05,2,Das ist ziemlich cool.
19,1,2021-01-27 04:53:05,2,Ich studiere Physik.
20,18,2021-01-27 04:56:05,2,Respekt.
