cn_id,acc_id,acc_acc_id,cn_inhalt,cn_date_of_creation
1,1,2,Hallo,2021-07-07 16:34:26
2,2,1,Kennen wir uns?,2021-07-07 16:35:26
3,1,2,Bisher nicht.,2021-07-07 16:40:26
4,2,1,Und das soll sich jetzt ändern?,2021-07-07 16:44:26
5,1,2,Hatte ich mir so vorgestellt.,2021-07-07 16:45:26
6,2,1,Interessant.,2021-07-07 16:50:26
7,3,12,"Hi, wie war die Vorlesung?",2021-10-28 16:57:32
8,12,3,"Joa, war ganz interessant.",2021-10-28 16:58:32
9,3,12,Hab ich was verpasst?,2021-10-28 17:02:32
10,3,12,Hat sie was zur Prüfungsvorbereitung gesagt.,2021-10-28 17:04:32
11,12,3,Ne.,2021-10-28 17:06:32
12,3,12,"Okay, dann hab ich ja nochmal Glück gehabt.",2021-10-28 17:08:32
13,12,14,"Hey, have you any experience with the boost packs from the ingame shop?",2021-10-29 09:08:32
14,14,12,"No, not really.",2021-10-29 09:10:32
15,14,12,Why are you asking.,2021-10-29 09:12:32
16,12,14,"Was thinking about purchasing a general booster, to boost the production in all of my castles..",2021-10-29 09:14:32
17,14,12,"Wow, that sounds usefull.",2021-10-29 09:16:32
18,12,14,"Yeah, thought so too.",2021-10-29 09:17:32
19,14,12,"Could you keep me updated, if it is worth it?",2021-10-29 09:19:32
20,12,14,Will do.,2021-10-29 09:21:32
